latitude,longitude,speed_knots,course,distance_nm,eta_hours
-5.513725,105.322991,2.41,162,0.8476021605414459,0.35170214130350447
-5.513972,105.323477,2.48,165,0.8149905024263207,0.3286252025912583
-5.514219,105.323963,2.54,168,0.7823788552761961,0.30802317136858115
-5.514465,105.324449,2.61,171,0.749794501941016,0.28727758695058087
-5.514712,105.324935,2.68,174,0.7171828758410203,0.26760555068694786
-5.514959,105.325421,2.75,177,0.6845712607118984,0.2489350038952358
-5.515206,105.325907,2.82,180,0.6519596565869789,0.23119136758403508
-5.515452,105.326393,2.89,183,0.6193753464664508,0.21431672888112482
-5.515699,105.326879,2.96,186,0.5867637632994234,0.19823100111467007
-5.515946,105.327364,3.03,189,0.5542054277063639,0.18290608175127523
-5.516192,105.32785,3.1,192,0.5216211490119201,0.16826488677803875
-5.516439,105.328336,3.17,195,0.48900959831416224,0.15426170293822153
-5.516686,105.328822,3.23,198,0.4563980587046875,0.14129970857730265
-5.516933,105.329308,3.3,201,0.42378653025753044,0.12842016068410014
-5.517179,105.329794,3.37,204,0.3912022947444587,0.11608376698648626
-5.517426,105.33028,3.44,207,0.3585907869471971,0.10424150783348753
-5.517673,105.330766,3.51,210,0.32597929033392187,0.09287159268772703
-5.517919,105.331252,3.58,213,0.2933950891211616,0.08195393550870435
-5.518166,105.331738,3.65,216,0.2607836129157925,0.0714475651824089
-5.518413,105.332224,3.72,219,0.22817214787061055,0.06133659888994907
-5.51866,105.33271,3.79,222,0.19556069418066044,0.05159912775215315
-5.518906,105.333195,3.86,225,0.16302977016054432,0.042235691751436356
-5.519153,105.333681,3.92,228,0.13041833785635157,0.03326998414702846
-5.5194,105.334167,3.99,231,0.0978069177896189,0.024513011977348096
-5.519647,105.334653,4.06,234,0.06519551215522519,0.016058007920006206
-5.519893,105.335139,4.13,237,0.03261139141007541,0.007896220680405668
4.01419,96.159317,0.0,117,0.009605767282908545,0.0009605767282908545
4.014185,96.159319,0.0,117,0.009282856062727513,0.0009282856062727513
4.01418,96.159321,0.0,118,0.00895996699979047,0.0008959966999790471
4.014175,96.159322,0.0,119,0.008656807969515129,0.0008656807969515129
4.01417,96.159324,0.0,120,0.008333873539077725,0.0008333873539077725
4.014165,96.159326,0.0,121,0.008010962019858963,0.0008010962019858964
4.01416,96.159328,0.0,122,0.007688076298618705,0.0007688076298618705
4.014155,96.159329,0.0,123,0.007384918740572998,0.0007384918740572998
4.01415,96.159331,0.0,123,0.00706197999742847,0.000706197999742847
4.014145,96.159333,0.0,124,0.006739068076272315,0.0006739068076272315
4.01414,96.159335,0.0,125,0.0064161870273542415,0.0006416187027354242
4.014135,96.159336,0.0,126,0.006113031626145543,0.0006113031626145543
4.01413,96.159338,0.0,127,0.005790086793922298,0.0005790086793922299
4.014125,96.15934,0.0,128,0.005467174305050474,0.0005467174305050474
4.01412,96.159342,0.0,129,0.005144300249949617,0.0005144300249949617
4.014114,96.159344,0.0,130,0.004764689100426853,0.0004764689100426853
4.014109,96.159345,0.0,130,0.00446159098967347,0.000446159098967347
4.014104,96.159347,0.0,131,0.004138616348492063,0.00041386163484920626
4.014099,96.159349,0.0,132,0.0038156830031471083,0.0003815683003147108
4.014094,96.159351,0.0,133,0.003492802408538547,0.0003492802408538547
4.014089,96.159352,0.0,134,0.0031897323815999437,0.0003189732381599944
4.014084,96.159354,0.0,135,0.0028667327302056623,0.0002866732730205662
4.014079,96.159356,0.0,136,0.0025437886720812144,0.00025437886720812143
4.014074,96.159358,0.0,136,0.002220924459613354,0.0002220924459613354
4.014069,96.159359,0.0,137,0.001917921148063174,0.0001917921148063174
4.014064,96.159361,0.0,138,0.0015948661935891474,0.00015948661935891474
4.014059,96.159363,0.0,139,0.0012718943378362366,0.00012718943378362365
4.014054,96.159365,0.0,140,0.0009490904190161035,9.490904190161035e-05
4.014049,96.159366,0.0,141,0.0006464369839671284,6.464369839671284e-05
4.014044,96.159368,0.0,142,0.00032321849211949154,3.232184921194915e-05
-0.266033,117.670372,0.0,114,0.06627591088922488,0.006627591088922488
-0.266002,117.670326,0.0,117,0.06294545009277473,0.006294545009277473
-0.265971,117.67028,0.0,120,0.05961498947867534,0.005961498947867534
-0.265941,117.670235,0.0,124,0.05636785555960829,0.0056367855559608295
-0.26591,117.670189,0.0,127,0.053037394383970655,0.005303739438397065
-0.265879,117.670143,0.0,131,0.04970693337965688,0.0049706933379656875
-0.265848,117.670097,0.0,134,0.04637647258608657,0.004637647258608657
-0.265817,117.670051,0.0,137,0.043046012050684285,0.004304601205068428
-0.265787,117.670006,0.0,141,0.039798878123526664,0.003979887812352667
-0.265756,117.66996,0.0,144,0.03646841680758419,0.003646841680758419
-0.265725,117.669914,0.0,148,0.033137955729054404,0.0033137955729054406
-0.265694,117.669868,0.0,151,0.029807494969446825,0.0029807494969446824
-0.265663,117.669822,0.0,154,0.02647703465128106,0.002647703465128106
-0.265633,117.669777,0.0,158,0.023229900768341916,0.0023229900768341914
-0.265602,117.669731,0.0,161,0.019899439163656434,0.001989943916365643
-0.265571,117.669685,0.0,165,0.01656897793623053,0.001656897793623053
-0.26554,117.669639,0.0,168,0.013238517371636926,0.0013238517371636925
-0.265509,117.669593,0.0,171,0.009908058146622205,0.0009908058146622205
-0.265479,117.669548,0.0,175,0.006660925171390564,0.0006660925171390564
-0.265448,117.669502,0.0,178,0.0033304625885666253,0.00033304625885666254
